Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
394,Admiral Schofield,WAS,22,26,8,18,11.2,3.2,1.2,2.9,40,0.5,1.8,29.8,0.3,0.5,69.2,0.2,1.1,1.3,0.5,0.3,0.3,0.1,1.6,6.6,0,0,-1.2,No
395,Tacko Fall,BOS,24,6,5,1,4,3.2,1.5,2,75,0,0,0,0.2,0.5,33.3,0,1.8,1.8,0,0.5,0,0.3,0.8,5.9,0,0,1.2,No
396,Kevon Looney,GSW,24,13,5,8,11.1,3.2,1.3,3.5,37.8,0.1,0.3,25,0.5,0.6,75,1.7,1.5,3.2,0.8,0.5,0.5,0.3,1.5,10,0,0,-3.5,No
397,Chris Silva,MIA,23,34,23,11,7.8,3.1,1.1,1.7,67.2,0,0.1,0,0.9,1.3,67.4,1.4,1.5,2.9,0.4,0.9,0.3,0.5,2.1,8.6,0,0,-0.2,No
397,Juancho Hernangomez,MIN,24,34,20,14,12.4,3.1,1.1,3.2,34.5,0.4,1.8,25,0.5,0.7,64,0.7,2.1,2.8,0.6,0.5,0.1,0.1,0.9,7.8,0,0,0.2,No
399,Goga Bitadze,IND,20,40,24,16,8.9,3.1,1.3,2.6,47.6,0.1,0.6,16.7,0.5,0.7,69,0.5,1.6,2.2,0.5,0.5,0.1,0.7,1.3,8,1,0,-0.3,No
399,Javonte Green,BOS,26,40,28,12,9.3,3.1,1.2,2.3,51.6,0.2,0.6,26.1,0.6,0.9,64.7,0.4,1.3,1.7,0.5,0.4,0.5,0.1,0.9,7.4,0,0,0.1,No
401,Carsen Edwards,BOS,21,31,22,9,9.5,3.1,1.1,3.3,32,0.6,2,30.6,0.4,0.4,84.6,0.2,1.1,1.3,0.7,0.5,0.3,0.1,0.9,6.5,0,0,-1.2,No
402,D.J. Wilson,MIL,23,26,24,2,9,3.1,1.2,3,40.5,0.4,1.7,24.4,0.2,0.3,71.4,0.2,1.8,2,0.7,0.5,0,0.2,0.8,6.6,0,0,-0.8,No
403,Jordan Bell,HOU,25,27,8,19,8.7,3.1,1.2,2.2,53.3,0.1,0.3,22.2,0.6,1.1,58.6,1,1.9,2.9,0.5,0.7,0.1,0.4,0.6,8,0,0,-0.3,No
404,Semi Ojeleye,BOS,25,48,34,14,15,3.1,1,2.5,40.2,0.6,1.5,36.5,0.5,0.5,88,0.4,1.4,1.9,0.5,0.2,0.4,0.1,1.1,7.2,0,0,0.3,No
405,TJ Leaf,IND,22,22,13,9,8.2,3,1.3,3,42.4,0.2,0.6,35.7,0.3,0.5,60,0.9,1.8,2.7,0.3,0.3,0.3,0.1,0.8,7.8,1,0,-0.5,No
406,Drew Eubanks,SAS,23,7,5,2,5.5,3,1.3,2,64.3,0,0,0,0.4,0.4,100,0.9,1.4,2.3,0.3,0.6,0,0.1,0.7,6,0,0,-5.1,No
406,Marial Shayok,PHI,24,1,0,1,7.5,3,1,3,33.3,1,3,33.3,0,0,0,0,1,1,0,1,0,0,0,3.2,0,0,-4,No
408,Jerome Robinson,LAC,22,42,29,13,11.3,2.9,1.1,3.2,33.8,0.5,1.6,28.4,0.3,0.5,57.9,0.1,1.3,1.4,1.1,0.6,0.3,0.2,1.3,7.1,0,0,0.9,No
409,Mfiondu Kabengele,LAC,22,10,8,2,4.4,2.9,1,2.2,45.5,0.6,1.2,50,0.3,0.3,100,0.1,0.7,0.8,0.1,0.1,0.1,0.1,0.6,4.5,0,0,-0.1,No
410,Tyrone Wallace,ATL,25,14,3,11,11.5,2.9,1,3.1,31.8,0.1,1.1,6.7,0.8,1.2,64.7,0.2,1.4,1.6,0.9,0.7,0.5,0.1,1.4,7.1,0,0,-2.3,No
411,Bruno Caboclo,MEM,24,22,7,15,8.7,2.8,1.3,3.1,40.6,0.2,1.1,16,0.1,0.1,66.7,0.8,1.2,2,0.5,0.3,0.5,0.5,1,8.6,1,0,-0.9,No
412,Chandler Parsons,ATL,31,5,0,5,10.8,2.8,1,3.6,27.8,0.8,2.8,28.6,0,0,0,0.2,1.2,1.4,0.6,0.6,0.8,0.2,0.6,7.8,0,0,-8,No
413,Deonte Burton,OKC,26,30,18,12,8.5,2.7,1.1,3.1,36.6,0.2,1.3,17.9,0.2,0.4,50,0.2,1.1,1.3,0.3,0.3,0.1,0.3,0.9,5.8,0,0,-1.6,No
